Sr no,Name,MoneyControl_link,News_link
247,Jammu+%26+Kashmir+Bank+Ltd+moneycontrol,,
248,Jamna+Auto+Industries+Ltd+moneycontrol,,
249,JBF+Industries+Ltd.+moneycontrol,,
250,Jet+Airways+India+Ltd+moneycontrol,,
251,Jindal+SAW+Ltd+moneycontrol,,
252,Jindal+Stainless+(Hisar)+Ltd+moneycontrol,,
253,Jindal+Stainless+Ltd.+moneycontrol,,
254,Jindal+Steel+%26+Power+Ltd+moneycontrol,,
255,JK+Lakshmi+Cement+Ltd+moneycontrol,,
256,JM+Financial+Ltd+moneycontrol,,
257,Johnson+Controls+-Hitachi+Air+Conditioning+India+Ltd+moneycontrol,,
258,JSW+Energy+Ltd+moneycontrol,,
259,JSW+Steel+Ltd+moneycontrol,,
260,Jubilant+FoodWorks+Ltd+moneycontrol,,
261,Jubilant+Life+Sciences+Ltd+moneycontrol,,
262,Just+Dial+Ltd+moneycontrol,,
263,Jyothy+Laboratories+Ltd+moneycontrol,,
264,Kajaria+Ceramics+Ltd.+moneycontrol,,
265,Kalpataru+Power+Transmission+Ltd+moneycontrol,,
266,Kansai+Nerolac+Paints+Ltd.+moneycontrol,,
267,Karnataka+Bank+Ltd+moneycontrol,,
268,Kaveri+Seed+Co+Ltd+moneycontrol,,
269,KEC+International+Ltd/India+moneycontrol,,
270,KEI+Industries+Ltd+moneycontrol,,
271,Kesoram+Industries+Ltd+moneycontrol,,
272,Kirloskar+Oil+Engines+Ltd+moneycontrol,,
273,Kotak+Mahindra+Bank+Ltd+moneycontrol,,
274,KPIT+Technologies+Ltd+moneycontrol,,
275,KPR+Mill+Ltd+moneycontrol,,
276,KRBL+Ltd+moneycontrol,,
277,Kwality+Ltd+moneycontrol,,
278,L%26T+Finance+Holdings+Ltd+moneycontrol,,
279,L%26T+Technology+Services+Ltd+moneycontrol,,
280,La+Opala+Rg+Ltd.+moneycontrol,,
281,Lakshmi+Machine+Works+Ltd+moneycontrol,,
282,Lakshmi+Vilas+Bank+Ltd.+moneycontrol,,
283,Larsen+%26+Toubro+Infotech+Ltd+moneycontrol,,
284,Larsen+%26+Toubro+Ltd+moneycontrol,,
285,Laurus+Labs+Ltd+moneycontrol,,
286,LIC+Housing+Finance+Ltd+moneycontrol,,
287,Linde+India+Ltd+moneycontrol,,
288,Lupin+Ltd+moneycontrol,,
289,Magma+Fincorp+Ltd.+moneycontrol,,
290,Mahanagar+Gas+Ltd+moneycontrol,,
291,Mahindra+%26+Mahindra+Financial+Services+Ltd+moneycontrol,,
292,Mahindra+%26+Mahindra+Ltd+moneycontrol,,
293,Mahindra+CIE+Automotive+Ltd+moneycontrol,,
294,Mahindra+Holidays+%26+Resorts+India+Ltd+moneycontrol,,
295,Mahindra+Lifespace+Developers+Ltd+moneycontrol,,
