Sr.no,id,name,moneycontrol_link,news
175,533228,BHARAT FINANCIAL INCLUSION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/bharatfinancialinclusion/SM11,
176,532636,IIFL HOLDINGS LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/iiflholdings/II15,
177,533023,WABCO INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/wabcoindia/WAB,
178,533148,JSW ENERGY LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/jswenergy/JE01,
179,532922,EDELWEISS FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01,
180,532531,STRIDES SHASUN LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01,
181,532777,INFO EDGE (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01,
182,500040,CENTURY TEXTILES & INDUSTRIES LTD,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,
183,532178,ENGINEERS INDIA LTD,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/engineersindia/EI14,
184,500411,THERMAX LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/thermax/T,
185,512599,ADANI ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,
186,532477,UNION BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/unionbankindia/UBI01,
187,540064,FUTURE RETAIL LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,
188,532839,DISH TV INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/dishtvindia/DTV,
189,500674,SANOFI INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sanofiindia/AP26,
190,500101,ARVIND LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,
191,500084,CESC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/cesc/CES,
192,511072,DEWAN HOUSING FINANCE CORPN. LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF,
193,532779,TORRENT POWER LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/torrentpower/TP14,
194,500877,APOLLO TYRES LTD.,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,
195,500488,ABBOTT INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,
196,506395,COROMANDEL INTERNATIONAL LTD.,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,
197,532843,FORTIS HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/fortishealthcare/FH,
198,503806,SRF LTD.,http://www.moneycontrol.com/india/stockpricequote/textiles-manmade/srf/SRF,
199,540153,ENDURANCE TECHNOLOGIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/endurancetechnologies/ET01,
200,517385,SYMPHONY LTD.,http://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/symphony/SCS04,
