Sr no,Name,MoneyControl_link,News_link
122,Divi%27s+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
123,DLF+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
124,Dr+Reddy%27s+Laboratories+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
125,Dr.+Lal+PathLabs+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
126,eClerx+Services+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
127,Edelweiss+Financial+Services+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
128,Eicher+Motors+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
129,EID+Parry+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
130,EIH+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
131,Elgi+Equipments+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
132,Emami+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
133,Endurance+Technologies+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
134,Engineers+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
135,Entertainment+Network+India+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
136,Equitas+Holdings+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
137,Eris+Lifesciences+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
138,Eros+International+Media+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
139,Escorts+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
140,Essel+Propack+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
141,Eveready+Industries+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
142,Exide+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
143,FDC+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
144,Federal+Bank+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
145,Finolex+Cables+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
146,Finolex+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
147,Firstsource+Solutions+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
148,Force+Motors+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
149,Fortis+Healthcare+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
150,Future+Consumer+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
151,Future+Lifestyle+Fashions+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
152,Gail+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
153,Gateway+Distriparks+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
154,Gati+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
155,GE+Power+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
156,GE+T%26D+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
157,GHCL+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
158,GIC+Housing+Finance+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
159,Gillette+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
160,GlaxoSmithKline+Consumer+Healthcare+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
161,GlaxoSmithKline+Pharmaceuticals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
162,Glenmark+Pharmaceuticals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
163,GMR+Infrastructure+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
164,Godfrey+Phillips+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
165,Godrej+Consumer+Products+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
166,Godrej+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
167,Godrej+Properties+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
168,Granules+India+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
169,Graphite+India+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
170,Grasim+Industries+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
171,Great+Eastern+Shipping+Co+Ltd/The+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
172,Greaves+Cotton+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
173,Greenply+Industries+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
174,Grindwell+Norton+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
175,GRUH+Finance+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
176,Gujarat+Alkalies+%26+Chemicals+Ltd.+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
177,Gujarat+Fluorochemicals+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
178,Gujarat+Gas+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
179,Gujarat+Mineral+Development+Corp+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
180,Gujarat+Narmada+Valley+Fertilizers+and+Chemicals+Limited+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
181,Gujarat+Pipavav+Port+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
182,Gujarat+State+Fertilisers+%26+Chemicals+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
183,Gujarat+State+Petronet+Ltd+moneycontrol,"('/company-article/andhrabank/news/AB14#AB14',)",
