Sr.no,id,name,moneycontrol_link,news,cnews
18,532454,BHARTI AIRTEL LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08,http://www.moneycontrol.com/company-article/bhartiairtel/news/BA08#BA08,
19,532555,NTPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/ntpc/NTP,http://www.moneycontrol.com/company-article/ntpc/news/NTP#NTP,
20,500188,HINDUSTAN ZINC LTD.,http://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/hindustanzinc/HZ,http://www.moneycontrol.com/company-article/hindustanzinc/news/HZ#HZ,
21,532281,HCL TECHNOLOGIES LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02,http://www.moneycontrol.com/company-article/hcltechnologies/news/HCL02#HCL02,
22,507685,WIPRO LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W,http://www.moneycontrol.com/company-article/wipro/news/W#W,
23,532215,AXIS BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16,http://www.moneycontrol.com/company-article/axisbank/news/AB16#AB16,
24,532898,POWER GRID CORPORATION OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/powergridcorporationindia/PGC,http://www.moneycontrol.com/company-article/powergridcorporationindia/news/PGC#PGC,
25,532538,ULTRATECH CEMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01,http://www.moneycontrol.com/company-article/ultratechcement/news/UTC01#UTC01,
26,500547,BHARAT PETROLEUM CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,http://www.moneycontrol.com/company-article/bharatpetroleumcorporation/news/BPC#BPC,
27,500820,ASIAN PAINTS LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/asianpaints/AP31,http://www.moneycontrol.com/company-article/asianpaints/news/AP31#AP31,
28,532977,BAJAJ AUTO LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10,http://www.moneycontrol.com/company-article/bajajauto/news/BA10#BA10,
29,500520,MAHINDRA & MAHINDRA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/mahindramahindra/MM,http://www.moneycontrol.com/company-article/mahindramahindra/news/MM#MM,
30,532187,INDUSIND BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB,http://www.moneycontrol.com/company-article/indusindbank/news/IIB#IIB,
31,500295,VEDANTA LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/vedanta/SG,http://www.moneycontrol.com/company-article/vedanta/news/SG#SG,
32,500530,BOSCH LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05,http://www.moneycontrol.com/company-article/bosch/news/B05#B05,
33,500257,LUPIN LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,http://www.moneycontrol.com/company-article/lupin/news/L#L,
34,505200,EICHER MOTORS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM,http://www.moneycontrol.com/company-article/eichermotors/news/EM#EM,
35,500182,HERO MOTOCORP LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/heromotocorp/HHM,http://www.moneycontrol.com/company-article/heromotocorp/news/HHM#HHM,
36,532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,http://www.moneycontrol.com/company-article/adaniportsspecialeconomiczone/news/MPS#MPS,
37,532648,YES BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/yesbank/YB,http://www.moneycontrol.com/company-article/yesbank/news/YB#YB,
38,534816,BHARTI INFRATEL LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14,http://www.moneycontrol.com/company-article/bhartiinfratel/news/BI14#BI14,
39,500790,NESTLE INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/nestleindia/NI,http://www.moneycontrol.com/company-article/nestleindia/news/NI#NI,
40,532155,GAIL (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI,http://www.moneycontrol.com/company-article/gailindia/news/GAI#GAI,
41,500034,BAJAJ FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF,http://www.moneycontrol.com/company-article/bajajfinance/news/BAF#BAF,
42,532978,BAJAJ FINSERV LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04,http://www.moneycontrol.com/company-article/bajajfinserv/news/BF04#BF04,
